timestamp_us,timestamp_s,event,connection_handle,l2cap_cid,sequence,write_index,read_index,ring_fill,audio_busy,duration_us,result,detail0,detail1,details,anomaly,anomaly_reasons
41364914,41.364914,AUDIO_SDU_GENERATED,0xffff,0x0000,164,1701,1700,1,0,19998,0,0,0,,False,
41366492,41.366492,AUDIO_BUSY_SET,0x0040,0x0041,164,1701,1701,0,1,0,2,0,0,busy_context=2,False,
41366493,41.366493,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,164,1701,1701,0,1,0,0,0,0,,False,
41366497,41.366497,AUDIO_CAN_SEND_NOW,0x0040,0x0041,164,1701,1701,0,1,6,0,0,0,,False,
41366775,41.366775,AUDIO_PACKET_SENT,0x0040,0x0041,164,1701,1701,0,1,275,0,22,0,,False,
41366777,41.366777,AUDIO_BUSY_CLEAR,0x0040,0x0041,164,1701,1701,0,0,285,3,0,0,busy_context=3,False,
41366781,41.366781,AUDIO_L2CAP_SEND,0x0040,0x0041,164,1701,1701,0,0,0,0,161,0,sdu_size=161,False,
41384914,41.384914,AUDIO_SDU_GENERATED,0xffff,0x0000,165,1702,1701,1,0,20000,0,0,0,,False,
41386439,41.386439,AUDIO_BUSY_SET,0x0040,0x0041,165,1702,1702,0,1,0,2,0,0,busy_context=2,False,
41386441,41.386441,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,165,1702,1702,0,1,0,0,0,0,,False,
41386444,41.386444,AUDIO_CAN_SEND_NOW,0x0040,0x0041,165,1702,1702,0,1,6,0,0,0,,False,
41386723,41.386723,AUDIO_PACKET_SENT,0x0040,0x0041,165,1702,1702,0,1,276,0,21,0,,False,
41386725,41.386725,AUDIO_BUSY_CLEAR,0x0040,0x0041,165,1702,1702,0,0,286,3,0,0,busy_context=3,False,
41386729,41.386729,AUDIO_L2CAP_SEND,0x0040,0x0041,165,1702,1702,0,0,0,0,161,0,sdu_size=161,False,
41404913,41.404913,AUDIO_SDU_GENERATED,0xffff,0x0000,166,1703,1702,1,0,19999,0,0,0,,False,
